"date","forecastmonth","forecastyear","newmoonnumber","currency","model","level","species","estimate","LowerPI","UpperPI","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
"2018-06-11",6,2018,507,"abundance","AutoArima","All","BA",0,-4.50097876117191,4.50097876117191,217,506,506
"2018-06-11",7,2018,508,"abundance","AutoArima","All","BA",0,-6.36534520800257,6.36534520800257,217,506,506
"2018-06-11",8,2018,509,"abundance","AutoArima","All","BA",0,-7.79592389813818,7.79592389813818,217,506,506
"2018-06-11",9,2018,510,"abundance","AutoArima","All","BA",0,-9.00195752234383,9.00195752234383,217,506,506
"2018-06-11",10,2018,511,"abundance","AutoArima","All","BA",0,-10.0644944752632,10.0644944752632,217,506,506
"2018-06-11",11,2018,512,"abundance","AutoArima","All","BA",0,-11.0251013079755,11.0251013079755,217,506,506
"2018-06-11",12,2018,513,"abundance","AutoArima","All","BA",0,-11.9084704584445,11.9084704584445,217,506,506
"2018-06-11",1,2019,514,"abundance","AutoArima","All","BA",0,-12.7306904160051,12.7306904160051,217,506,506
"2018-06-11",2,2019,515,"abundance","AutoArima","All","BA",0,-13.5029362835157,13.5029362835157,217,506,506
"2018-06-11",3,2019,516,"abundance","AutoArima","All","BA",0,-14.2333445853463,14.2333445853463,217,506,506
"2018-06-11",4,2019,517,"abundance","AutoArima","All","BA",0,-14.9280577401659,14.9280577401659,217,506,506
"2018-06-11",5,2019,518,"abundance","AutoArima","All","BA",0,-15.5918477962764,15.5918477962764,217,506,506
"2018-06-11",6,2018,507,"abundance","AutoArima","All","DM",24.0558091634889,12.5326821775136,35.5789361494643,217,506,506
"2018-06-11",7,2018,508,"abundance","AutoArima","All","DM",26.6044167630318,11.3157803344991,41.8930531915646,217,506,506
"2018-06-11",8,2018,509,"abundance","AutoArima","All","DM",28.7300078418385,11.0809090230604,46.3791066606167,217,506,506
"2018-06-11",9,2018,510,"abundance","AutoArima","All","DM",30.5027944548554,11.2104238406383,49.7951650690726,217,506,506
"2018-06-11",10,2018,511,"abundance","AutoArima","All","DM",31.9813348978536,11.480198626087,52.4824711696201,217,506,506
"2018-06-11",11,2018,512,"abundance","AutoArima","All","DM",33.2144679921186,11.7900395744452,54.6388964097921,217,506,506
"2018-06-11",12,2018,513,"abundance","AutoArima","All","DM",34.2429263176063,12.0920273993142,56.3938252358985,217,506,506
