"forecast_newmoon","newmoonnumber","mintemp","maxtemp","meantemp","precipitation","ndvi","source"
403,404,-8.79966032577433,22.1091271808161,8.903,28.654,0.231024861630095,"retroactive"
403,405,1.43871868616371,26.3112650308428,11.525,17.101,0.260128929445031,"retroactive"
403,406,5.17909157326744,30.9403653679101,15.435,14.24,0.285438243943051,"retroactive"
403,407,3.0976344127221,27.8381838017486,20.061,4.936,0.300946860569218,"retroactive"
403,408,9.98230587418669,43.089589495317,25.284,13.118,0.311547170417817,"retroactive"
403,409,13.7315039017819,39.0040268734676,27.094,46.869,0.318771358579927,"retroactive"
404,405,-3.59101917520393,26.2964142410411,11.371,12.365,0.252788574503299,"retroactive"
404,406,-1.08573901768639,28.7858265983407,15.364,4.89,0.281808324428161,"retroactive"
404,407,3.21152429019769,29.8306333138965,20.833,3.22,0.30153303651985,"retroactive"
404,408,10.0905793234306,37.6014932995442,26.178,5.932,0.313588966721357,"retroactive"
404,409,15.0538373054139,32.4579043501296,27.457,57.485,0.320012214375581,"retroactive"
404,410,12.3656965364906,40.1748615541328,25.96,53.025,0.321778561192133,"retroactive"
405,406,3.78669239122186,25.3653636745525,15.776,3.748,0.285789743003337,"retroactive"
405,407,6.90953873838476,30.2018544352904,20.868,5.649,0.303498104607785,"retroactive"
405,408,13.8247929206669,34.2787327563968,26.12,3.766,0.313264279136531,"retroactive"
405,409,18.1307992115867,38.9652253273251,27.688,48.457,0.318901866617807,"retroactive"
405,410,12.9410131985188,31.3078506192688,26.396,44.294,0.321107081565769,"retroactive"
405,411,10.7200973616008,42.8058006813066,23.954,22.294,0.316797683230023,"retroactive"
406,407,6.6336727451362,31.3858744932691,20.339,4.1,0.348550462396022,"retroactive"
406,408,16.6335891049446,27.8317914393502,26.239,5.51,0.335366142222245,"retroactive"
406,409,15.7973318002074,35.4391614892384,27.585,51.933,0.314942449377851,"retroactive"
406,410,19.4463058081904,35.3310079314666,26.444,49.513,0.308221008734624,"retroactive"
406,411,5.39158323362316,39.7190482655846,24.269,19.725,0.309047575967831,"retroactive"
406,412,-0.370947200356762,34.610065909809,17.798,23.235,0.305179489326779,"retroactive"
407,408,10.0118672589312,37.5715799004845,26.699,3.232,0.348953874074435,"retroactive"
407,409,20.9624178556473,33.411139811957,27.882,45.136,0.321624332462531,"retroactive"
407,410,11.7577624963115,42.7240946529587,26.372,50.445,0.307043478188808,"retroactive"
407,411,10.7469355525512,32.1805091348609,24.35,20.251,0.305133204872054,"retroactive"
407,412,4.50133424002354,27.8957110949105,18.467,5.58,0.302791953080727,"retroactive"
407,413,-2.42495137760338,27.2407279671714,12.823,3.783,0.291681917289112,"retroactive"
408,409,15.9791120672931,38.6640827419336,27.796,41.786,0.302028346036904,"retroactive"
408,410,20.4508673483875,32.1050765773809,26.513,43.153,0.297521564440124,"retroactive"
408,411,11.2615498184714,35.74273799008,24.613,16.097,0.306938556974542,"retroactive"
408,412,2.53095247708149,25.1439866139396,18.306,2.076,0.308436040852162,"retroactive"
408,413,-11.0007776596845,29.4150417247696,13.013,0.655,0.295049538141271,"retroactive"
408,414,-9.65659097353146,34.1449202529691,8.353,1.265,0.273820768575797,"retroactive"
409,410,13.8214474210951,31.5178361638854,26.181,45.433,0.304870980412382,"retroactive"
409,411,8.29657311261805,47.9835477812704,24.568,11.248,0.310489089576697,"retroactive"
409,412,9.70069598372647,27.9144565484536,18.617,2.605,0.307722590990472,"retroactive"
409,413,-1.49039793286115,25.6835273506741,12.815,2.148,0.292906671034012,"retroactive"
409,414,-6.10715658618731,17.8931423234424,8.316,3.042,0.272556971881488,"retroactive"
409,415,-4.40571817830846,16.2739002449789,8.898,2.054,0.256928383247985,"retroactive"
410,411,9.86459145943324,38.2404829785863,23.88,16.502,0.358812606093653,"retroactive"
410,412,2.6588504507914,36.6794851988486,18.663,2.929,0.330272803289977,"retroactive"
410,413,-8.77081946223561,19.2015582596868,13.534,0.741,0.288201478362258,"retroactive"
410,414,-7.70728484700094,23.8872329068158,8.519,1.901,0.259429495274809,"retroactive"
410,415,-5.29771969967037,33.3858833533123,9.051,0.879,0.249531842807266,"retroactive"
410,416,-3.53430429814197,27.1358298041384,10.999,3.132,0.252035511373668,"retroactive"
411,412,-2.78998272814655,37.6944088268018,18.154,3.111,0.315403712529315,"retroactive"
411,413,-4.27694742042221,29.0360838782157,13.074,2.237,0.285250816587871,"retroactive"
411,414,-5.10796846560194,23.3552989329049,8.348,5.116,0.264947936857765,"retroactive"
411,415,-6.01136753187794,23.7456737261724,8.255,3.603,0.25426896450589,"retroactive"
411,416,-4.87289566339649,29.164899119056,10.457,6.013,0.252201407927267,"retroactive"
411,417,5.94103971407152,26.9935802093183,13.532,2.702,0.258233776676761,"retroactive"
412,413,-4.91201618857401,30.8929990855584,12.925,0.601,0.265555225210403,"retroactive"
412,414,-7.84947567901141,22.7325493829831,8.629,6.474,0.257105998483686,"retroactive"
412,415,-4.11792563527484,20.6953840251628,8.513,2.794,0.255174118823354,"retroactive"
412,416,-4.27223349968066,23.7872317715849,10.374,7.973,0.254406847049404,"retroactive"
412,417,-0.649515862143719,22.852824584081,13.876,1.357,0.260532788316016,"retroactive"
412,418,6.67544082587037,27.4002656759503,17.735,1.528,0.271744189516169,"retroactive"
413,414,-8.68845665994356,8.53270855742517,8.488,4.577,0.274262122819733,"retroactive"
413,415,-1.89770422361363,32.4783162868472,9.236,4.408,0.261935065255064,"retroactive"
413,416,-10.3058635982236,24.135244520099,10.578,5.211,0.253626604215424,"retroactive"
413,417,1.68722675396228,37.7214523329121,13.531,3.623,0.25860492462478,"retroactive"
413,418,-0.338661917442246,31.6907308822683,17.726,1.016,0.269785347174812,"retroactive"
413,419,10.3053278367734,39.1091702993985,22.525,1.289,0.2885058729067,"retroactive"
414,415,-1.63972558953591,21.1423848722942,8.621,3.484,0.231080298640763,"retroactive"
414,416,-2.2216363150163,23.5970047433446,10.415,7.135,0.241387820333822,"retroactive"
414,417,-1.98225484481836,24.0402847899286,13.497,5.157,0.259647068681919,"retroactive"
414,418,4.40183607379975,34.3553397006333,17.262,1.02,0.275013155054674,"retroactive"
414,419,7.59596443125449,37.7614561722006,22.266,3.555,0.291694709230021,"retroactive"
414,420,6.71065879048362,49.3454691954253,25.961,6.426,0.307159937353242,"retroactive"
415,416,-1.2800267911708,17.7934245551455,9.92,9.923,0.245265886199665,"retroactive"
415,417,2.37222062142438,22.5200633798346,12.62,19.269,0.261271228430092,"retroactive"
415,418,-2.07266796754088,33.4358450765111,16.849,21.227,0.274834531381671,"retroactive"
415,419,1.92891538170286,36.7176113270709,20.521,18.753,0.291100342111447,"retroactive"
415,420,8.35272397597541,46.3801828055487,24.496,22.208,0.306671351359579,"retroactive"
415,421,12.1131698763915,36.985257640543,26.53,23.943,0.319448472830663,"retroactive"
416,417,0.14328472353028,25.9671474075284,12.213,19.503,0.247140707483126,"retroactive"
416,418,1.52164018152159,28.6194598477554,15.76,26.489,0.26884879707441,"retroactive"
416,419,6.00918316244455,33.9441866877204,19.958,32.094,0.291823975714591,"retroactive"
416,420,8.83154800429899,39.2152843684856,22.571,31.9,0.308838368904709,"retroactive"
416,421,3.28227625961901,33.0335560381655,24.27,34.688,0.321279855228638,"retroactive"
