year,month,lead1,lead2,lead3,lead4,lead5,lead6,lead7
1982,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,2,8.2596,NaN,NaN,NaN,NaN,NaN,NaN
1982,3,10.757,11.427,NaN,NaN,NaN,NaN,NaN
1982,4,15.019,14.655,14.998,NaN,NaN,NaN,NaN
1982,5,19.458,19.181,19.152,19.382,NaN,NaN,NaN
1982,6,24.34,24.596,24.154,24.035,24.257,NaN,NaN
1982,7,25.949,26.232,26.207,25.953,25.793,26.213,NaN
1982,8,24.694,24.509,24.7,24.586,24.507,24.557,25.062
1982,9,21.404,21.475,21.6,21.371,21.511,21.609,21.166
1982,10,15.955,15.918,16.507,15.969,15.871,16.335,16.237
1982,11,8.4164,8.8226,8.9642,8.7618,8.8857,8.9896,9.411
1982,12,5.2267,5.1915,5.3047,5.4723,5.5742,5.0353,5.3191
1983,1,4.8876,5.0606,5.2329,4.8435,5.3107,5.1513,4.8366
1983,2,7.1987,7.2081,6.9946,7.0746,7.0301,7.1402,7.2236
1983,3,9.9792,10.103,9.6549,10.134,9.9034,9.7732,10.05
1983,4,13.99,13.909,13.876,12.714,12.916,13.059,12.089
1983,5,18.674,18.602,18.593,18.795,18.734,19.02,18.639
1983,6,23.73,23.315,23.825,23.368,23.538,23.413,23.37
1983,7,26.034,26.117,25.931,26.073,25.75,25.782,25.829
1983,8,24.807,24.551,24.9,25.258,24.743,24.96,24.546
1983,9,21.536,22.092,21.412,21.651,21.793,21.437,21.795
1983,10,16.251,16.144,16.046,16.212,16.323,16.535,16.395
1983,11,9.8956,9.7418,9.972,9.7527,10.088,10.169,10.408
1983,12,6.1331,6.7196,6.1327,6.115,6.251,6.2751,6.5922
1984,1,6.1193,5.9559,7.1082,6.7299,5.7599,5.9194,6.0545
1984,2,8.6909,8.845,8.6943,9.1664,8.849,8.6425,8.39
1984,3,11.571,11.35,11.816,11.939,11.596,11.567,11.385
1984,4,15.733,15.506,15.772,15.671,15.633,15.757,15.907
1984,5,20.194,19.835,19.731,19.839,20.029,20.195,20.418
1984,6,24.389,24.813,24.66,24.612,24.806,24.783,24.621
1984,7,25.236,25.641,25.63,25.788,25.992,25.981,25.98
1984,8,23.753,23.952,24.404,24.348,24.372,24.202,24.188
1984,9,20.926,21.074,21.477,21.614,21.817,21.78,22.171
1984,10,16.093,15.88,16.386,16.506,16.779,16.457,16.054
1984,11,9.8191,9.9848,9.0092,10.469,10.524,10.019,10.406
1984,12,6.4727,6.0759,6.2739,6.1154,6.4017,6.808,6.585
1985,1,6.1373,5.9764,6.4996,7.2816,7.1583,7.249,7.427
1985,2,8.4869,9.1253,9.2477,8.8049,8.9377,9.7407,9.3522
1985,3,11.969,11.834,11.734,12.03,11.473,11.292,11.633
1985,4,15.267,15.443,15.665,15.977,15.356,15.484,15.408
1985,5,19.745,19.623,20.17,20.125,20.018,20.254,19.679
1985,6,24.727,24.636,24.045,24.168,24.497,24.74,24.912
1985,7,25.573,25.579,25.658,25.489,25.771,25.823,25.903
1985,8,24.559,24.377,24.23,24.142,24.058,24.097,24.167
1985,9,21.952,22.373,21.995,21.762,21.537,21.4,21.859
1985,10,16.424,15.944,16.115,16.103,16.369,16.006,15.775
1985,11,10.155,9.8313,10.039,10.279,10.093,9.5569,9.5955
1985,12,6.122,6.402,5.8141,6.4582,6.1918,6.5496,6.9498
1986,1,6.4214,6.4259,6.4034,6.3426,6.3771,6.4104,6.7354
1986,2,8.4761,8.6568,8.7548,8.5712,8.8446,8.1939,8.7963
1986,3,11.258,10.994,11.175,11.345,11.41,11.398,10.967
1986,4,15.799,15.599,14.71,14.463,14.509,15.162,14.801
1986,5,19.339,19.577,19.475,19.391,19.26,19.347,19.486
1986,6,24.61,24.662,24.344,24.403,24.285,23.976,24.1
1986,7,26.245,25.865,25.9,25.904,25.885,25.685,25.713
1986,8,24.284,24.598,24.564,24.726,24.477,24.313,24.248
1986,9,21.947,21.354,22.114,21.964,22.204,21.66,21.602
1986,10,16.412,16.141,15.923,16.155,16.24,16.644,16.063
1986,11,9.4856,9.2948,9.2535,9.0929,9.3794,9.796,9.9205
1986,12,5.7867,6.2186,5.554,5.6847,5.4605,5.6938,5.819
1987,1,5.6503,5.6854,5.2221,5.3298,5.4558,5.1862,5.7139
1987,2,7.539,7.4394,7.2113,7.5793,7.3646,7.9973,7.3615
1987,3,10.405,10.344,10.115,10.109,10.126,10.207,10.513
1987,4,13.119,13.923,13.882,13.719,13.652,13.206,13.557
1987,5,18.979,18.805,18.974,18.825,18.674,18.532,18.642
1987,6,23.966,23.823,23.712,23.719,24.038,23.471,23.773
1987,7,26.103,26.364,26.454,26.24,26.048,25.971,25.748
1987,8,25.188,25.096,25.437,25.631,25.368,25.058,25.048
1987,9,22.685,22.915,22.612,22.646,22.886,22.123,22.108
1987,10,16.292,16.297,16.53,17.041,16.042,17.427,16.671
1987,11,9.6458,9.8539,9.7536,9.522,10.203,10.341,11.144
1987,12,5.8961,5.6614,5.8106,6.5586,6.2661,6.2859,6.7292
1988,1,5.9541,5.9171,6.5757,6.0532,6.3971,6.3081,6.5425
1988,2,7.6956,7.8321,7.9613,8.603,8.5699,8.5245,8.4544
1988,3,11.344,11.143,11.239,11.293,11.508,11.556,11.8
1988,4,16.06,16.205,15.326,15.498,15.784,15.092,15.617
1988,5,20.57,20.577,20.424,20.087,20.445,20.75,20.912
1988,6,25.364,25.102,25.181,25.156,24.973,25.48,25.304
1988,7,26.183,25.957,26.394,26.108,26.088,26.287,26.396
