year,month,lead1,lead2,lead3,lead4,lead5,lead6,lead7
1986,10,58.206,40.605,38.025,27.522,26.202,26.119,37.825
1986,11,26.618,26.962,17.753,25.935,32.371,26.831,16.21
1986,12,46.308,49.613,62.683,29.168,56.535,29.24,33.003
1987,1,45.18,42.815,45.601,41.328,32.684,35.468,31.286
1987,2,27.159,29.496,30.159,34.549,26.769,29.681,32.222
1987,3,23.877,20.573,22.612,22.671,15.82,18.662,17.216
1987,4,11.993,12.275,12.408,18.956,21.975,20.045,18.056
1987,5,13.07,16.486,11.472,8.3144,10.769,15.224,14.249
1987,6,14.656,13.936,16.186,21.216,7.9162,17.008,17.682
1987,7,51.555,45.573,40.646,39.257,55.919,53.015,53.769
1987,8,49.974,47.611,40.396,42.761,39.4,56.476,54.471
1987,9,25.495,16.558,24.334,25.149,20.81,34.466,27.566
1987,10,24.53,16.784,11.84,11.429,18.767,12.956,12.938
1987,11,24.325,11.317,18.805,14.801,13.715,15.828,13.532
1987,12,16.145,20.836,38.81,25.858,17.654,24.015,31.827
1988,1,18.395,26.021,20.336,19.24,27.344,30.594,20.545
1988,2,10.102,23.199,23.355,19.682,19.366,20.824,22.644
1988,3,12.346,14.481,8.3692,11.642,13.941,10.113,6.8501
1988,4,4.0831,2.1106,3.2564,2.0832,0.62008,4.153,2.9904
1988,5,3.0258,8.2457,2.8271,4.3972,5.4826,1.8719,1.325
1988,6,6.6542,10.405,7.4127,17.226,3.8982,6.5794,7.6425
1988,7,58.689,72.377,57.807,65.91,87.319,65.407,64.446
1988,8,49.442,48.968,63.532,55.917,58.746,57.192,56.674
1988,9,24.973,13.445,12.267,22.388,24.159,25.123,29.978
1988,10,7.5873,8.7733,6.6967,5.2628,12.447,15.09,13.503
1988,11,2.2829,1.9169,0.95075,1.4845,4.7827,12.956,5.8098
1988,12,10.602,14.027,6.0783,8.7592,5.8478,7.3232,11.184
1989,1,4.8479,6.4938,11.178,6.0628,9.0435,4.7662,8.6122
1989,2,4.7447,2.7889,10.035,6.4106,5.5921,2.2706,4.1473
1989,3,4.8316,3.7984,3.1451,2.4494,3.6648,3.5828,1.6586
1989,4,2.5564,1.8667,1.0693,2.4027,0.99843,1.458,5.3924
1989,5,0.99526,0.93178,3.5143,2.0484,1.8281,4.4866,4.5997
1989,6,7.2335,5.4469,6.4215,9.1895,5.8158,7.1006,6.9415
1989,7,66.144,54.927,74.24,63.791,81.33,59.205,56.519
1989,8,55.611,54.623,54.833,53.087,59.049,54.829,52.899
1989,9,18.916,23.259,27.297,32.175,37.075,38.594,40.327
1989,10,10.931,13.495,11.314,23.481,14.231,15.384,10.66
1989,11,11.982,21.025,12.39,17.597,10.74,19.409,23.704
1989,12,24.645,16.754,16.175,16.171,22.691,12.858,23.267
1990,1,19.544,27.402,25.138,18.438,11.976,13.356,29.711
1990,2,26.899,17.029,28.596,15.427,25.006,12.025,20.153
1990,3,18.72,18.117,10.77,17.49,11.581,7.2785,8.5237
1990,4,9.9459,6.6602,11.288,8.6749,11.033,8.548,4.7334
1990,5,7.121,6.5786,7.2397,2.9316,8.6929,5.5935,2.7601
1990,6,16.584,16.255,13.67,14.851,19.374,11.381,15.363
1990,7,58.967,61.421,47.945,67.783,60.724,63.62,52.609
1990,8,54.607,54.451,61.132,51.991,48.43,52.944,58.278
1990,9,39.009,36.228,35.982,35.018,43.515,28.285,31.049
1990,10,36.721,23.462,20.459,27.325,28.257,33.564,23.884
1990,11,14.243,16.977,35.018,13.68,14.336,22.787,23.624
1990,12,38.829,35.218,31.635,45.913,18.679,39.841,21.5
1991,1,36.375,33.947,16.826,18.255,29.168,25.194,26.208
1991,2,21.098,22.968,25.271,21.757,24.448,21.456,24.449
1991,3,9.851,16.278,14.952,11.235,11.364,16.748,17.359
1991,4,9.2891,16.05,15.78,7.5304,10.62,4.9378,11.244
1991,5,8.5015,6.9586,10.455,7.1408,6.7712,7.787,6.7559
1991,6,20.64,22.296,7.7838,12.125,13.323,12.519,14.163
1991,7,57.691,68.918,63.422,47.456,62.594,59.207,56.589
1991,8,53.718,42.76,46.861,59.471,59.234,54.82,54.248
1991,9,30.597,31.444,31.992,30.371,31.647,33.769,42.603
1991,10,41.616,17.928,34.134,40.336,55.04,39.371,42.814
1991,11,35.78,35.43,27.942,27.794,25.588,29.864,29.711
1991,12,15.134,35.034,32.336,21.421,43.59,55.505,22.705
1992,1,39.839,29.342,25.205,30.552,53.005,32.435,50.71
1992,2,31.741,32.16,29.846,31.679,31.014,27.109,31.787
1992,3,27.027,25.431,27.462,21.507,23.41,22.203,18.487
1992,4,21.591,24.784,17.547,20.583,18.676,21.569,18.1
1992,5,15.741,12.981,12.157,10.387,20.935,7.8125,12.318
1992,6,12.995,17.429,26.787,17.744,16.68,17.902,18.104
1992,7,81.091,64.261,58.385,49.654,57.066,66.04,55.288
1992,8,74.176,70.221,67.147,58.671,48.228,52.47,46.359
1992,9,40.932,47.485,49.952,33.441,36.033,35.844,36.313
1992,10,61.383,50.596,48.063,32.076,21.433,37.999,17.264
1992,11,27.963,35.918,30.889,35.815,31.144,29.613,25.979
1992,12,44.54,30.414,39.476,44.871,46.748,46.838,44.379
1993,1,38.414,35.792,26.169,30.931,38.978,46.029,27.715
1993,2,32.054,26.201,26.618,28.326,21.008,26.204,31.188
1993,3,21.073,25.386,18.544,13.959,18.95,13.857,14.647
1993,4,8.2598,12.737,12.417,12.323,13.017,11.143,7.5928
1993,5,7.9775,5.2715,14.343,10.559,9.2813,6.5449,4.1165
1993,6,15.043,11.983,10.88,14.07,30.042,29.634,12.434
1993,7,94.554,66.48,52.42,62.926,66.116,61.369,90.272
1993,8,66.98,67.993,54.125,62.742,61.122,62.832,50.941
1993,9,38.538,47.228,37.617,30.162,31.896,34.563,42.592
1993,10,39.736,42.93,23.393,24.598,34.907,24.909,27.854
1993,11,24.519,29.565,29.742,21.116,28.272,27.955,27.236
1993,12,33.106,37.812,39.08,22.208,24.276,43.748,31.234
1994,1,24.237,16.806,28.08,19.103,17.527,21.19,24.031
1994,2,24.051,29.1,15.763,15.309,20.694,21.934,13.18
1994,3,17,10.982,11.491,12.271,12.876,10.855,15.773
1994,4,8.9606,13.611,11.581,9.7455,4.1606,3.2642,5.5161
1994,5,8.496,5.9538,8.784,5.8497,7.7735,4.149,4.5553
1994,6,11.157,21.691,20.202,10.839,5.6879,7.2436,12.199
1994,7,83.585,62.537,77.539,77.92,61.392,66.786,81.49
1994,8,61.236,61.371,67.876,66.017,67.573,60.063,65.074
1994,9,44.43,39.179,43.611,48.521,55.149,31.946,35.87
1994,10,37.886,60.197,27.008,49.651,44.114,35.047,30.885
1994,11,22.483,26.248,24.729,18.533,23.544,30.597,21.266
1994,12,48.04,37.65,56.27,40.627,13.5,25.675,35.504
1995,1,38.567,20.801,29.393,30.962,37.644,30.007,25.368
1995,2,22.797,27.89,20.155,26.102,24.227,28.824,26.171
1995,3,15.547,15.242,15.235,15.855,12.243,12.954,16.172
1995,4,7.8302,10.537,10.159,13.709,12.885,16.656,4.8976
1995,5,3.7277,3.9835,3.8074,17.828,12.711,9.5953,9.4972
1995,6,3.8411,7.8308,7.0377,4.558,7.9479,9.3419,10.402
1995,7,34.677,42.551,62.295,56.046,45.401,52.403,44.329
1995,8,47.125,47.03,55.512,54.814,61.849,54.578,59.026
1995,9,15.062,24.338,31.606,24.685,22.496,35.212,22.874
1995,10,9.193,11.674,11.997,14.194,16.091,18.388,12.821
1995,11,11.836,13.384,13.058,11.209,7.7346,13.893,12.346
1995,12,17.655,12.529,7.0714,20.138,12.313,20.071,15.236
1996,1,15.041,9.6489,8.2164,12.634,7.6393,14.068,4.7205
1996,2,8.9882,15.543,5.4648,7.406,11.274,5.0384,10.082
1996,3,7.2254,9.1864,6.5873,4.9963,2.8257,5.0152,6.0621
1996,4,2.2529,3.7392,1.119,2.7327,2.2961,1.8335,4.2158
1996,5,1.5509,1.7472,1.2688,1.8748,6.243,1.4971,0.65168
1996,6,2.6854,3.9136,3.8246,3.1636,3.0307,8.1249,10.973
1996,7,43.002,46.74,64.081,56.68,53.43,55.307,74.905
1996,8,53.812,65.031,55.014,62.702,56.527,62.5,60.653
1996,9,38.839,29.728,29.931,23.827,29.691,32.657,22.604
1996,10,22.513,36.131,8.5341,13.599,15.329,23.125,14.101
1996,11,19.342,13.699,19.317,13.116,21.326,11.392,9.8408
1996,12,34.836,38.513,46.782,36.752,16.897,25.136,36.397
1997,1,18.662,31.053,21.587,14.656,14.756,23.151,20.084
1997,2,20.544,18.327,20.82,21.858,18.124,12.851,19.164
1997,3,19.508,16.659,13.794,12.718,12.757,16.555,11.27
1997,4,8.874,14.69,11.01,4.9107,11.212,5.9366,4.485
1997,5,3.6594,4.3219,7.7682,5.1301,3.5536,7.1792,4.6044
1997,6,14.916,12.815,19.468,12.87,15.344,7.9841,15.783
1997,7,59.05,51.478,55.955,54.419,59.212,56.714,50.381
1997,8,57.732,54.725,58.17,57.938,63.642,61.809,59.981
1997,9,40.313,30.72,54.456,41.004,47.072,45.31,35.221
1997,10,43.097,38.604,49.302,34.681,36.085,28.64,39.964
1997,11,37.646,25.488,30.256,32.262,20.905,27.849,33.212
1997,12,62.182,29.827,20.17,39.961,18.4,27.508,47.234
1998,1,37.482,36.959,33.394,40.038,40.09,29.572,45.647
1998,2,29.019,24.28,29.914,25.882,40.925,32.561,28.694
1998,3,14.29,14.263,17.284,17.585,21.352,20.461,22.598
1998,4,8.2463,6.2619,12.096,7.1825,9.5797,12.742,9.2124
1998,5,5.3709,6.8316,6.4327,6.934,4.8452,4.4615,9.8825
1998,6,6.782,5.1431,8.7844,5.1485,1.2894,4.7282,4.7845
1998,7,55.893,49.308,43.621,40.184,36.47,49.511,34.636
1998,8,60.509,60.074,59.602,54.04,60.275,57.434,63.189
1998,9,39.909,30.726,31.988,25.16,44.143,23.123,28.995
1998,10,15.262,11.508,18.272,10.528,6.4105,13.402,15.394
1998,11,2.768,4.7331,7.2431,5.5914,5.5643,4.9316,3.1155
1998,12,2.7555,7.3903,15.007,9.3524,5.3423,8.7136,4.903
1999,1,5.7974,7.4184,13.584,9.2591,4.179,8.9159,14.628
1999,2,4.637,5.2305,8.0805,4.4574,3.8325,13.599,1.32
1999,3,3.2141,4.1232,1.429,2.8848,1.816,2.4983,2.3497
1999,4,0.78077,1.1417,1.6156,0.24975,1.7935,4.7509,0.52079
1999,5,2.0816,3.7042,2.5923,1.4672,0.96537,2.2713,3.0638
1999,6,7.837,11.093,15.314,6.2899,8.7128,7.3203,12.279
1999,7,62.757,55.056,56.779,65.522,64.718,64.063,61.796
1999,8,64.134,55.842,54.064,63.718,67.374,64.218,56.956
1999,9,25.014,14.606,25.429,20.862,33.561,22.903,36.632
1999,10,6.837,6.2721,11.02,12.628,10.826,10.432,21.282
1999,11,4.0866,1.9565,4.9679,3.8309,3.5885,7.5322,14.543
1999,12,16.017,18.681,5.8623,4.9093,6.373,9.8519,3.9692
2000,1,11.881,9.2891,23.449,6.9487,13.107,4.2465,5.8011
2000,2,6.9557,5.8753,8.1325,8.6395,11.036,7.0603,7.3592
2000,3,3.2656,3.7802,5.229,5.4754,6.9771,4.3349,6.9831
2000,4,2.2288,1.8105,0.9287,1.4872,4.9499,1.2722,0.81603
2000,5,4.7827,1.8779,2.6208,2.9634,1.7343,7.0996,6.6353
2000,6,7.7894,6.6927,4.0805,3.0518,7.4636,3.9433,8.8187
2000,7,69.816,68.03,84.304,83.067,61.193,69.024,73.033
2000,8,53.573,64.896,56.353,61.031,66.45,60.824,63.195
2000,9,28.902,26.674,35.178,28.187,25.318,30.682,37.649
2000,10,10.393,20.656,11.01,9.3542,17.335,8.2739,14.761
2000,11,17.333,5.7404,11.553,12.409,13.06,18.659,12.209
2000,12,25.268,19.541,24.793,12.916,17.605,35.109,16.606
2001,1,18.028,27.696,29.068,20.117,17.317,24.977,20.466
2001,2,20.223,19.298,13.748,21.827,15.622,19.911,19.975
2001,3,15.352,11.563,13.236,10.007,17.175,12.178,9.784
2001,4,3.8781,6.2496,5.6464,9.4085,7.7399,10.903,6.2637
2001,5,8.2601,6.273,9.4708,5.9525,5.019,6.367,7.5238
2001,6,8.7377,17.149,11.119,41.352,16.18,15.101,12.3
2001,7,52.566,61.904,72.201,63.744,81.671,69.811,76.738
2001,8,59.72,55.511,53.746,57.489,54.583,61.064,58.119
2001,9,21.61,31.519,24.779,35.068,30.826,25.23,36.863
2001,10,29.373,15.44,36.316,33.731,24.181,27.766,31.497
2001,11,20.009,19.153,14.436,16.764,20.911,18.753,29.541
2001,12,30.052,27.003,29.901,7.2493,38.678,26.775,23.962
2002,1,26.992,35.216,28.809,14.646,23.525,18.44,32.401
2002,2,12.619,19.374,24.009,19.247,23.739,15.225,20.365
2002,3,9.7852,8.9793,12.378,17.456,14.67,15.604,9.2869
2002,4,11.518,4.4018,3.2063,4.172,9.8907,3.6353,7.777
2002,5,5.6829,4.2146,4.9194,5.8541,2.7469,4.7203,14.771
2002,6,11.203,15.989,11.49,7.5093,11.367,8.9808,10.482
2002,7,79.593,64.676,58.925,59.97,53.982,50.572,43.879
2002,8,59.561,57.433,55.093,46.654,53.471,58.248,48.511
2002,9,24.114,25.159,36.607,42.677,26.245,25.982,33.392
2002,10,15.235,23.203,28.218,49.392,28.827,20.815,12.875
2002,11,23.195,17.721,28.041,24.468,25.676,18.156,17.241
2002,12,43.253,33.016,39.21,22.693,33.137,22.663,28.37
2003,1,17.386,33.999,29.438,32.558,40.979,28.547,40.452
2003,2,18.251,21.096,26.847,24.422,21.753,24.63,24.827
2003,3,21.589,10.862,15.277,13.026,17.363,14.542,16.386
2003,4,15.74,8.4702,5.6792,6.5619,12.211,11.569,13.308
2003,5,1.9418,6.3011,8.4228,4.5978,5.2996,4.1804,7.9889
2003,6,11.015,4.7089,15.328,13.887,9.9971,4.5677,7.4339
2003,7,50.757,78.697,54.03,58.841,55.138,61.928,64.712
2003,8,52.22,55.601,51.702,54.238,61.608,54.286,59.695
2003,9,22.126,34.541,30.697,39.296,30.728,23.943,27.25
2003,10,15.983,9.3146,25.759,7.7386,12.611,11.614,13.06
2003,11,9.8511,12.4,7.957,9.6496,8.2201,8.47,10.844
2003,12,32.112,28.42,22.002,24.386,17.194,22.389,30.001
2004,1,18.426,19.121,8.9988,24.722,15.784,13.35,14.131
2004,2,14.864,15.977,18.746,17.719,12.377,10.924,13.852
2004,3,8.9867,7.4894,11.07,12.115,7.1848,6.8901,8.0063
2004,4,1.9245,5.1306,3.7541,4.7652,5.7184,4.6056,6.8624
2004,5,3.937,5.2219,2.3287,5.2423,3.0872,7.7953,2.838
2004,6,21.726,9.4872,14.704,18.429,9.2358,6.8938,2.6627
2004,7,69.728,104.24,78.358,49.397,58.417,61.816,44.954
2004,8,55.103,62.816,70.182,73.017,55.326,53.181,53.43
2004,9,27.548,34.868,39.744,33.996,42.348,22.529,37.599
2004,10,24.56,31.77,17.189,25.218,27.86,25.929,19.578
2004,11,28.966,12.926,16.128,29.782,30.361,23.931,23.187
2004,12,27.334,34.019,23.856,17.393,41.671,10.499,33.178
2005,1,18.304,36.085,25.733,23.348,28.514,23.528,24.731
2005,2,27.959,16.895,15.379,18.033,18.387,20.367,15.346
2005,3,14.69,15.122,10.607,11.235,15.179,14.66,14.743
2005,4,9.2729,9.6373,7.8637,2.6542,4.9553,2.6494,7.5253
2005,5,4.022,3.0297,3.9487,4.9881,2.7419,11.346,4.1604
2005,6,6.0196,6.1964,8.6513,16.436,13.905,6.4537,16.61
2005,7,57.163,55.022,58.402,58.635,56.716,57.049,55.615
2005,8,42.652,48.365,66.474,53.929,57.673,58.533,61.691
2005,9,16.273,22.59,24.65,27.38,33.285,33.677,33.814
2005,10,8.8082,11.655,14.177,10.682,17.876,17.72,23.634
2005,11,7.16,13.151,15.758,12.167,19.524,8.8243,18.525
2005,12,20.15,34.111,21.699,18.472,45.045,36.986,25.04
2006,1,17.499,11.491,14.686,19.947,13.243,17.252,18.5
2006,2,9.894,14.424,9.4643,8.7394,15.144,12.853,15.298
2006,3,8.9573,8.0899,5.3421,7.0991,11.483,12.876,9.6382
2006,4,4.5597,3.9031,6.7397,1.498,2.24,3.3557,7.8744
2006,5,4.8253,2.9564,2.2452,3.2274,1.6423,4.5392,3.3032
2006,6,4.5017,5.6446,11.277,9.82,5.8937,9.5448,17.044
2006,7,46.145,44.869,48.496,60.987,52.025,57.171,62.631
2006,8,52.292,52.811,55.667,58.575,59.752,51.377,62.349
2006,9,21.305,30.911,25.383,15.344,30.32,38.746,27.395
2006,10,18.803,8.736,15.948,19.775,11.91,11.022,24.333
2006,11,22.816,38.624,13.672,16.882,12.794,22.799,22.306
2006,12,40.038,27.274,20.308,23.455,34.617,31.558,33.426
2007,1,23.353,25.962,31.398,21.572,30.707,25.502,19.468
2007,2,18.802,17.253,23.09,27.65,18.843,26.112,21.975
2007,3,10.656,9.7319,13.625,15.088,17.568,14.644,19.219
2007,4,2.4709,4.0282,4.648,7.7717,11.074,6.1081,4.2737
2007,5,3.5316,2.3768,4.3549,5.5797,4.116,4.8461,7.5578
2007,6,10.285,7.0146,5.5675,8.523,7.8163,3.1946,6.6955
2007,7,47.409,51.993,56.31,53.861,49.232,48.13,36.151
2007,8,53.029,64.01,60.351,51.598,54.695,68.03,45.087
2007,9,39.81,27.713,24.378,25.087,33.08,28.806,31.325
2007,10,15.075,18.862,11.417,14.589,8.5792,19.763,9.6534
2007,11,2.4865,7.0768,5.5114,5.9928,5.6856,5.5525,3.9218
2007,12,7.6378,6.0657,23.981,7.5536,18.221,7.9027,5.542
2008,1,12.53,12.488,6.2919,12.367,10.936,25.171,4.7116
2008,2,10.575,8.9465,11.223,8.2322,11.682,9.8239,13.654
2008,3,3.0319,3.7899,4.7411,6.8393,4.5118,4.5111,4.114
2008,4,0.20273,1.4453,1.6735,3.4301,1.3781,2.362,2.0215
2008,5,0.50871,0.51538,3.115,1.2854,0.86419,2.8694,3.682
2008,6,4.4926,5.6602,10.571,5.3653,3.5109,5.1143,3.1728
2008,7,38.688,54.336,53.468,59.948,68.659,62.541,67.168
2008,8,50.238,54.459,55.563,53.484,55.398,73.59,59.817
2008,9,23.765,33.924,23.864,35.08,36.634,39.974,29.625
2008,10,9.7048,10.061,14.711,15.175,18.296,18.592,14.107
2008,11,4.6356,5.9163,4.7365,17.228,7.7055,7.9001,10.665
2008,12,13.993,18.732,4.5023,5.8098,16.131,8.3128,9.7036
2009,1,25.338,9.7039,11.354,12.315,7.8842,13.729,11.256
2009,2,14.152,14.453,16.938,12.219,10.872,15.541,10.522
2009,3,7.6795,7.2429,6.5984,11.094,11.249,12.28,7.1508
2009,4,7.6574,8.3173,6.562,5.7378,7.1866,4.728,5.7543
2009,5,3.2655,4.5425,14.685,6.9615,6.0646,3.6664,6.1685
2009,6,29.495,29.518,13.884,17.38,11.429,18.994,11.741
2009,7,62.285,100.72,96.664,82.176,71.912,72.667,49.884
2009,8,65.075,62.613,65.991,71.434,62.754,63.73,57.735
2009,9,40.541,45.804,31.028,48.63,37.638,54.422,37.533
2009,10,39.079,29.704,55.634,41.638,46.95,33.821,49.918
2009,11,27.928,20.414,27.193,22.907,30.499,33.37,28.014
2009,12,17.795,24.961,15.911,52.881,33.815,27.06,20.413
2010,1,30.412,26.306,21.775,44.959,26.873,33.422,32.921
2010,2,28.654,27.533,23.776,29.73,28.507,29.54,32.13
2010,3,12.365,17.101,17.834,23.731,16.954,19.836,19.952
2010,4,3.7476,4.89,14.24,10.748,9.7743,16.322,12.806
2010,5,4.0997,5.6494,3.2205,4.9358,5.6354,6.3165,5.7547
2010,6,3.2325,5.5095,3.7661,5.9323,13.118,9.4662,8.1913
2010,7,41.786,45.136,51.933,48.457,57.485,46.869,43.005
2010,8,45.433,43.153,50.445,49.513,44.294,53.025,58.352
2010,9,16.502,11.248,16.097,20.251,19.725,22.294,32.292
2010,10,3.1113,2.9289,2.605,2.0757,5.5797,23.235,12.717
2010,11,0.60081,2.2368,0.74086,2.1479,0.65539,3.7831,3.0373
2010,12,4.5769,6.4743,5.1159,1.9012,3.0419,1.2652,3.9861
2011,1,3.4842,4.4081,2.7944,3.6033,0.87877,2.0543,4.687
2011,2,NaN,7.135,5.2112,7.9725,6.0128,3.1322,3.1345
2011,3,NaN,NaN,5.157,3.6226,1.3571,2.7024,2.3079
2011,4,NaN,NaN,NaN,1.0196,1.0164,1.5278,0.765
2011,5,NaN,NaN,NaN,NaN,3.5546,1.2893,1.3494
2011,6,NaN,NaN,NaN,NaN,NaN,6.4257,9.7025
2011,7,NaN,NaN,NaN,NaN,NaN,NaN,73.249
2011,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011,9,11.093,NaN,NaN,NaN,NaN,NaN,NaN
2011,10,35.505,11.777,NaN,NaN,NaN,NaN,NaN
2011,11,2.0505,47.906,17.766,NaN,NaN,NaN,NaN
2011,12,6.6816,14.948,29.981,24.316,NaN,NaN,NaN
2012,1,37.362,18.893,27.479,18.262,33.782,NaN,NaN
2012,2,8.3285,23.815,14.198,15.038,2.7114,10.088,NaN
2012,3,2.6629,2.9643,6.893,2.472,2.6784,0.24286,2.8673
2012,4,8.3316,1.2367,1.3033,1.8665,0.32699,3.2912,12.327
2012,5,9.0423,5.5678,1.0649,2.2868,2.498,1.4641,3.3872
2012,6,4.452,23.357,19.957,10.369,9.8779,10.184,3.8052
2012,7,62.485,53.042,73.826,64.131,62.584,55.567,43.417
2012,8,48.703,56.634,52.347,57.599,44.843,48.039,55.868
2012,9,21.042,32.605,21.713,25.337,20.832,33.215,18.419
2012,10,13.476,16.143,21.791,43.004,31.963,47.253,34.297
2012,11,24.589,14.314,7.7144,9.2131,10.734,15.816,17.595
2012,12,34.227,25.169,38.387,30.154,36.49,27.126,31.98
2013,1,19.052,33.503,20.812,48.28,22.665,29.025,28.217
2013,2,17.367,18.014,21.804,17.462,17.183,17.192,16.26
2013,3,5.8386,6.0011,12.008,14.575,12.691,13.895,14.332
2013,4,10.591,3.6425,7.1507,4.5402,2.1956,4.879,6.3359
2013,5,4.5458,2.4363,0.91717,4.756,5.4204,4.6423,4.1114
2013,6,5.9927,5.931,6.542,3.3238,19.51,25.304,5.5965
2013,7,50.577,60.743,40.412,44.313,42.121,52.267,58.637
2013,8,56.571,58.788,52.068,58.006,51.28,45.807,59.134
2013,9,43.021,39.896,32.745,34.464,17.815,19.1,17.889
2013,10,11.625,33.099,13.541,18.034,15.562,9.5492,19.469
2013,11,16.085,21.899,18.972,19.898,14.315,17.728,15.21
2013,12,33.972,35.996,22.342,24.359,23.03,38.069,44.859
2014,1,20.774,33.776,35.768,18.973,24.506,14.984,21.509
2014,2,17.924,18.561,13.752,19.51,15.631,22.285,13.734
2014,3,6.1112,9.6105,15.322,7.4728,12.541,9.4548,18.673
2014,4,8.184,3.3928,3.8004,7.3815,1.825,13.698,3.3155
2014,5,NaN,10.183,2.6641,6.9498,5.4377,1.216,6.8064
2014,6,17.693,NaN,21.361,11.689,7.7447,15.93,6.9086
2014,7,80.706,73.918,NaN,63.785,56.706,55.421,66.252
2014,8,72.493,57.802,66.425,NaN,62.357,47.968,56.267
2014,9,52.499,65.548,46.203,52.753,NaN,39.134,36.46
2014,10,41.633,54.193,52.163,51.382,41.508,NaN,39.641
2014,11,27.696,27.056,29.99,31.584,28.236,30.633,NaN
2014,12,30.161,45.376,37.184,60.148,46.379,69.707,51.813
2015,1,47.871,32.713,28.073,41.889,37.77,37.408,32.936
2015,2,29.78,33.32,21.659,23.95,31.878,26.516,27.578
2015,3,20.381,23.637,23.194,22.643,20.466,17.6,21.643
2015,4,19.463,15.629,14.484,26.692,12.677,8.7431,16.026
2015,5,12.848,16.736,8.2206,19.057,18.995,25.459,13.58
2015,6,40.081,33.715,19.924,15.6,26.939,29.897,27.364
