year,month,lead1,lead2,lead3,lead4,lead5,lead6,lead7
1982,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,2,12.084,NaN,NaN,NaN,NaN,NaN,NaN
1982,3,13.621,8.5882,NaN,NaN,NaN,NaN,NaN
1982,4,4.0142,6.8546,6.8965,NaN,NaN,NaN,NaN
1982,5,2.0527,9.5725,4.6206,3.9576,NaN,NaN,NaN
1982,6,11.066,7.4707,18.333,12.997,12.276,NaN,NaN
1982,7,56.292,51.823,56.819,46.896,54.879,45.583,NaN
1982,8,46.393,56.815,52.472,52.827,50.38,51.989,51.915
1982,9,29.152,31.027,39.174,32.678,33.02,34.446,46.995
1982,10,38.655,36.83,36.8,37.797,46.469,25.193,28.149
1982,11,29.851,26.174,36.623,24.781,42.476,24.586,24.795
1982,12,32.449,35.668,47.193,60.717,31.378,39.438,28.455
1983,1,36.038,27.027,41.013,45.881,42.355,33.559,53.431
1983,2,36.06,30.812,34.879,35.263,33.097,36.081,32.91
1983,3,23.317,22.929,20.95,21.601,19.501,21.703,23.78
1983,4,13.589,12.771,15.099,22.757,13.963,16.607,22.072
1983,5,11.453,3.5785,17.421,14.65,11.953,12.504,10.438
1983,6,8.181,10.347,2.4231,6.8326,8.5811,7.1406,18.617
1983,7,35.3,36.081,34.718,37.642,50.873,38.718,58.192
1983,8,47.323,55.836,51.941,34.742,48.185,43.672,48.889
1983,9,38.376,23.414,36.981,30.357,21.1,23.22,24.72
1983,10,21.773,15.536,23.198,19.332,17.442,22.091,9.6345
1983,11,12.869,15.753,17.742,25.474,21.009,10.796,20.43
1983,12,21.952,21.076,20.227,23.462,37.837,17.85,12.13
1984,1,16.806,18.35,16.922,19.821,18.549,21.501,27.808
1984,2,18.465,17.366,10.603,16.392,17.945,19.328,15.54
1984,3,10.254,8.5782,10.412,5.0619,7.7812,7.3626,10.367
1984,4,4.1427,2.5661,1.8888,0.90434,2.561,1.486,4.3384
1984,5,4.1527,3.0136,2.4287,1.2592,2.6641,3.3721,2.6973
1984,6,13.812,8.1179,3.4623,10.885,7.2035,17.481,17.378
1984,7,98.24,61.68,71.2,70.659,59.799,59.514,61.651
1984,8,72.867,72.195,54.53,61.914,64.831,54.949,61.609
1984,9,38.344,35.139,25.07,25.908,24.629,28.756,26.022
1984,10,28.73,14.752,14.915,15.711,8.27,9.7905,11.881
1984,11,25.11,19.048,18.118,10.079,5.8174,6.3648,11.715
1984,12,18.737,22.367,43.514,24.687,24.563,15.887,22.739
1985,1,26.565,8.7929,27.815,25.228,22.82,21.64,12.126
1985,2,11.873,16.226,15.792,23.343,24.378,9.6704,17.54
1985,3,8.0344,3.7085,7.7186,8.6812,11.42,14.496,11.844
1985,4,3.6131,5.8427,1.0793,1.8723,4.2816,7.5675,2.3551
1985,5,4.6557,3.8232,3.9203,4.3764,4.1359,4.5773,8.0829
1985,6,15.082,14.804,13.625,17.886,11.765,6.2756,12.501
1985,7,82.455,64.273,68.769,79.524,64.604,53.945,65.794
1985,8,49.915,53.118,50.489,57.61,58.21,68.958,56.837
1985,9,32.8,24.44,29.54,31.677,35.788,30.723,32.56
1985,10,18.897,30.37,27.413,11.301,14.195,24.4,20.468
1985,11,18.637,18.38,25.246,15.275,18.619,12.012,20.878
1985,12,38.242,36.446,17.186,12.716,17.075,23.251,38.877
1986,1,20.401,15.769,25.956,19.673,16.932,20.91,13.097
1986,2,19.604,10.67,17.973,16.053,17.073,16.966,15.808
1986,3,6.2717,10.084,11.257,14.109,13.146,10.074,11.581
1986,4,5.3169,6.0713,9.4322,4.4555,4.7783,3.412,2.4208
1986,5,6.0414,2.6102,8.406,5.3753,6.4338,5.9102,2.9818
1986,6,18.499,8.0112,8.6457,11.859,18.633,23.5,11.124
1986,7,47.357,66.899,70.946,71.354,75.962,58.465,67.824
1986,8,61.919,56.185,53.004,53.286,54.553,62.46,58.981
1986,9,33.31,36.292,35.049,32.342,23.38,39.451,42.645
